"gene_short_name","id","WormCategory.1","WormCategory.2","WormCategory.3"
"Y55F3BR.2","WBGene00021939","Proteolysis general","Proteolysis general: inhibitor","Proteolysis general: inhibitor: serine"
"Y55F3BR.1","WBGene00021938","mRNA functions","mRNA functions: processing","mRNA functions: processing: helicase"
"mak-2","WBGene00007007","Signaling","Signaling: MAPK","Signaling: MAPK"
"fbxc-1","WBGene00016649",NA,NA,NA
"fbxc-9","WBGene00045301",NA,NA,NA
"fbxc-2","WBGene00016648",NA,NA,NA
"fbxc-10","WBGene00045300",NA,NA,NA
"fbxc-4","WBGene00016647",NA,NA,NA
"fbxc-11","WBGene00045299",NA,NA,NA
"fbxc-5","WBGene00016646",NA,NA,NA
"fbxc-12","WBGene00045298",NA,NA,NA
"fbxc-3","WBGene00019073",NA,NA,NA
"fbxc-8","WBGene00019072",NA,NA,NA
"F58H7.5","WBGene00019070",NA,NA,NA
"lgc-30","WBGene00019069","Transmembrane transport","Transmembrane transport: extracellular ligand gated channel","Transmembrane transport: extracellular ligand gated channel"
"F58H7.1","WBGene00019067","Unassigned","Unassigned","Unassigned"
"faah-3","WBGene00019068","Metabolism","Metabolism: lipid","Metabolism: lipid: fatty acid"
"plx-1","WBGene00004047","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"egrh-2","WBGene00043705","Nucleic acid","Nucleic acid: binding","Nucleic acid: binding: unassigned"
"lep-2","WBGene00002278","Unassigned","Unassigned","Unassigned"
"Y55F3AM.5","WBGene00021923","Unassigned","Unassigned","Unassigned"
"immp-2","WBGene00021925","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: protease"
"Y55F3AM.9","WBGene00021926",NA,NA,NA
"atg-3","WBGene00021922","Lysosome","Lysosome: autophagy","Lysosome: autophagy"
"Y55F3AM.3","WBGene00021921","mRNA functions","mRNA functions: binding","mRNA functions: binding: RBM"
"abhd-14","WBGene00021927","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"Y55F3AM.11","WBGene00021928",NA,NA,NA
"srx-12","WBGene00005903","Transmembrane protein","Transmembrane protein: seven transmembrane receptor","Transmembrane protein: seven transmembrane receptor: srx"
"Y55F3AM.21","WBGene00219399",NA,NA,NA
"dcap-1","WBGene00021929","mRNA functions","mRNA functions: processing","mRNA functions: processing: decapping"
"Y55F3AM.13","WBGene00021930","Proteolysis proteasome","Proteolysis proteasome: E3","Proteolysis proteasome: E3: F box"
"mrps-25","WBGene00021920","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ribosome"
"Y55F3AM.14","WBGene00021931","Nucleic acid","Nucleic acid: binding","Nucleic acid: binding: zinc finger"
"csn-4","WBGene00000816","Proteolysis proteasome","Proteolysis proteasome: NEDD","Proteolysis proteasome: NEDD"
"cct-8","WBGene00021934","Chaperone","Chaperone: T complex","Chaperone: T complex"
"Y55F3AR.2","WBGene00021933","Stress response","Stress response: thioredoxin","Stress response: thioredoxin"
"Y55F3AR.1","WBGene00021932","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: cytochrome c oxidase assembly factor"
"C44B12.9","WBGene00044462","Unassigned","Unassigned","Unassigned"
"C44B12.3","WBGene00016637",NA,NA,NA
"ost-1","WBGene00003893","Extracellular material","Extracellular material: matrix","Extracellular material: matrix"
"srx-14","WBGene00005905",NA,NA,NA
"srx-13","WBGene00005904","Transmembrane protein","Transmembrane protein: seven transmembrane receptor","Transmembrane protein: seven transmembrane receptor: srx"
"perm-4","WBGene00016638","Development","Development: general","Development: general"
"perm-2","WBGene00016636","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"C44B12.6","WBGene00016639","Unassigned","Unassigned","Unassigned"
"C50A2.3","WBGene00016797","Unassigned","Unassigned","Unassigned: membrane spanning domain"
"ets-8","WBGene00016798","Transcription factor","Transcription factor: ETS","Transcription factor: ETS"
"C50A2.7","WBGene00219437",NA,NA,NA
"cec-2","WBGene00016796","Unassigned","Unassigned","Unassigned"
"Y104H12D.2","WBGene00022426","Unassigned","Unassigned","Unassigned"
"Y104H12D.4","WBGene00022428",NA,NA,NA
"mdt-20","WBGene00007020","Transcription: general machinery","Transcription: general machinery: RNA Pol II","Transcription: general machinery: RNA Pol II: mediator"
"Y104H12D.3","WBGene00022427",NA,NA,NA
"dsl-2","WBGene00001104",NA,NA,NA
"dsl-1","WBGene00001103","Signaling","Signaling: Notch","Signaling: Notch"
"W09G12.9","WBGene00021123","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"W09G12.10","WBGene00044463","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"W09G12.8","WBGene00021122",NA,NA,NA
"W09G12.7","WBGene00021121","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"W09G12.6","WBGene00021120","Unassigned","Unassigned","Unassigned"
"F38A1.8","WBGene00009521","Signaling","Signaling: small GTPase","Signaling: small GTPase: unassigned"
"F38A1.15","WBGene00044908",NA,NA,NA
"F38A1.9","WBGene00009522",NA,NA,NA
"clec-165","WBGene00009523",NA,NA,NA
"F38A1.11","WBGene00009524",NA,NA,NA
"clec-166","WBGene00009518",NA,NA,NA
"F38A1.6","WBGene00009519",NA,NA,NA
"clec-167","WBGene00009517",NA,NA,NA
"clec-168","WBGene00009520",NA,NA,NA
"clec-169","WBGene00009526",NA,NA,NA
"F38A1.13","WBGene00009525",NA,NA,NA
"clec-170","WBGene00009515",NA,NA,NA
"C09E9.1","WBGene00007476","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: unassigned"
"plst-1","WBGene00022425","Cytoskeleton","Cytoskeleton: actin function","Cytoskeleton: actin function: binding"
"F53H1.1","WBGene00018776","mRNA functions","mRNA functions: processing","mRNA functions: processing: splicing"
"F53H1.4","WBGene00018778","mRNA functions","mRNA functions: processing","mRNA functions: processing: snRNP"
"F53H1.3","WBGene00018777","Signaling","Signaling: small GTPase","Signaling: small GTPase: unassigned"
"F58F6.6","WBGene00019054",NA,NA,NA
"F58F6.5","WBGene00019053",NA,NA,NA
"rfc-2","WBGene00004338","DNA","DNA: replication","DNA: replication"
"col-104","WBGene00000678","Extracellular material","Extracellular material: collagen","Extracellular material: collagen"
"col-105","WBGene00000679","Extracellular material","Extracellular material: collagen","Extracellular material: collagen"
"F58F6.3","WBGene00019052",NA,NA,NA
"nhr-41","WBGene00022423","Transcription factor","Transcription factor: NHR","Transcription factor: NHR"
"Y77E11A.14","WBGene00022314","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"rpc-11","WBGene00022309","Transcription: general machinery","Transcription: general machinery: RNA Pol III","Transcription: general machinery: RNA Pol III"
"Y77E11A.7","WBGene00022310","Unassigned","Unassigned","Unassigned"
"jtr-1","WBGene00002180","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y77E11A.8","WBGene00022311",NA,NA,NA
"clec-171","WBGene00022312","Stress response","Stress response: C-type Lectin","Stress response: C-type Lectin"
"Y77E11A.23","WBGene00235267","Unassigned","Unassigned","Unassigned"
"clp-6","WBGene00000546",NA,NA,NA
"clp-7","WBGene00000547","Proteolysis general","Proteolysis general: cysteine","Proteolysis general: cysteine: calpain"
"Y77E11A.3","WBGene00022308",NA,NA,NA
"Y77E11A.2","WBGene00022307","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: unassigned"
"col-106","WBGene00000680","Extracellular material","Extracellular material: collagen","Extracellular material: collagen"
"Y77E11A.12","WBGene00022313","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y77E11A.16","WBGene00044464","Transmembrane protein","Transmembrane protein: seven transmembrane receptor","Transmembrane protein: seven transmembrane receptor: unassigned"
"npp-20","WBGene00003806","Nuclear pore","Nuclear pore: structure","Nuclear pore: structure"
"hxk-3","WBGene00022306","Metabolism","Metabolism: glycolysis","Metabolism: glycolysis"
"K03H6.2","WBGene00019368","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"clec-172","WBGene00044719","Stress response","Stress response: C-type Lectin","Stress response: C-type Lectin"
"K03H6.4","WBGene00019369","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"K03H6.1","WBGene00019367","Transmembrane protein","Transmembrane protein: seven transmembrane receptor","Transmembrane protein: seven transmembrane receptor: unassigned"
"K03H6.5","WBGene00019370","Transmembrane protein","Transmembrane protein: seven transmembrane receptor","Transmembrane protein: seven transmembrane receptor: unassigned"
"C34H4.5","WBGene00016427","Nucleic acid","Nucleic acid: binding","Nucleic acid: binding: unassigned"
"col-107","WBGene00000681","Extracellular material","Extracellular material: collagen","Extracellular material: collagen"
"tag-244","WBGene00044073","Unassigned","Unassigned","Unassigned"
"C34H4.2","WBGene00016425","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"C34H4.1","WBGene00016424","Stress response","Stress response: pathogen","Stress response: pathogen: unassigned"
"Y41D4B.17","WBGene00021519",NA,NA,NA
"hpo-6","WBGene00021518","Stress response","Stress response: pathogen","Stress response: pathogen: unassigned"
"Y41D4B.15","WBGene00021517",NA,NA,NA
"npp-8","WBGene00003794","Nuclear pore","Nuclear pore: structure","Nuclear pore: structure"
"Y41D4B.14","WBGene00021516",NA,NA,NA
"ced-2","WBGene00000416","Development","Development: apoptosis","Development: apoptosis"
"set-23","WBGene00021515","Protein modification","Protein modification: methyltransferase","Protein modification: methyltransferase"
"Y41D4B.11","WBGene00021514","Unassigned","Unassigned","Unassigned"
"dsl-3","WBGene00001105","Signaling","Signaling: Notch","Signaling: Notch"
"nhr-122","WBGene00003712","Transcription factor","Transcription factor: NHR","Transcription factor: NHR"
"nhr-287","WBGene00021521",NA,NA,NA
"nhr-92","WBGene00003682","Transcription factor","Transcription factor: NHR","Transcription factor: NHR"
"nhr-87","WBGene00003677",NA,NA,NA
"nhr-146","WBGene00045255","Transcription factor","Transcription factor: NHR","Transcription factor: NHR"
"Y41D4B.26","WBGene00021525","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"Y41D4B.6","WBGene00021513","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"nhr-274","WBGene00021522","Transcription factor","Transcription factor: NHR","Transcription factor: NHR"
"rps-28","WBGene00004497","Ribosome","Ribosome: subunit","Ribosome: subunit"
"Y41D4B.4","WBGene00021512","Cell cycle","Cell cycle: APC","Cell cycle: APC"
"Y41D4B.1","WBGene00021511","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y41D4B.24","WBGene00021524","Transmembrane protein","Transmembrane protein: seven transmembrane receptor","Transmembrane protein: seven transmembrane receptor: unassigned"
"bus-2","WBGene00044618","Extracellular material","Extracellular material: PGI","Extracellular material: PGI"
"K08D12.4","WBGene00019538","Unassigned","Unassigned","Unassigned"
"pbs-1","WBGene00003947","Proteolysis proteasome","Proteolysis proteasome: 20S","Proteolysis proteasome: 20S"
"K08D12.3","WBGene00019537","Unassigned","Unassigned","Unassigned"
"rpi-2","WBGene00019536","Cilia","Cilia: unassigned","Cilia: unassigned"
"K08D12.6","WBGene00019540","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"K08D12.7","WBGene00044293","Unassigned","Unassigned","Unassigned"
"K08D12.8","WBGene00195004","Unassigned","Unassigned","Unassigned"
"Y41D4A.5","WBGene00021507","Signaling","Signaling: phosphatase","Signaling: phosphatase: Y "
"Y41D4A.6","WBGene00021508","Non-coding RNA","Non-coding RNA: tRNA","Non-coding RNA: tRNA: production"
"Y41D4A.4","WBGene00021506","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y41D4A.7","WBGene00021509","Unassigned","Unassigned","Unassigned"
"Y41D4A.3","WBGene00021505",NA,NA,NA
"col-108","WBGene00000682",NA,NA,NA
"Y41D4A.1","WBGene00021504","Unassigned","Unassigned","Unassigned"
"frpr-19","WBGene00021510","Signaling","Signaling: heteromeric G protein","Signaling: heteromeric G protein: receptor"
"Y38C1BA.1","WBGene00021410",NA,NA,NA
"snn-1","WBGene00004913","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: vesicle trafficking"
"col-109","WBGene00000683","Extracellular material","Extracellular material: collagen","Extracellular material: collagen"
"Y38C1BA.4","WBGene00195012",NA,NA,NA
"cmk-1","WBGene00000553","Signaling","Signaling: calcium","Signaling: calcium: calmodulin dependent"
"K07A9.3","WBGene00019462","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"egl-4","WBGene00001173","Signaling","Signaling: TGF beta","Signaling: TGF beta"
"egl-18","WBGene00001186","Transcription factor","Transcription factor: GATA","Transcription factor: GATA"
"elt-6","WBGene00001253","Transcription factor","Transcription factor: GATA","Transcription factor: GATA"
"denn-4","WBGene00018681","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"tsen-54","WBGene00018680","Non-coding RNA","Non-coding RNA: tRNA","Non-coding RNA: tRNA: production"
"F52C12.2","WBGene00018679","Ribosome","Ribosome: EIF","Ribosome: EIF"
"F52C12.6","WBGene00138717","Signaling","Signaling: S/T kinase","Signaling: S/T kinase"
"F52C12.1","WBGene00018678","Metabolism","Metabolism: unassigned","Metabolism: unassigned"
"ulp-3","WBGene00006738","Protein modification","Protein modification: SUMO","Protein modification: SUMO"
"Y48A5A.1","WBGene00021655","Ribosome","Ribosome: biogenesis","Ribosome: biogenesis"
"Y48A5A.3","WBGene00044466","Unassigned","Unassigned","Unassigned"
"Y76B12C.4","WBGene00022298",NA,NA,NA
"Y76B12C.3","WBGene00022297","Unassigned","Unassigned","Unassigned"
"Y76B12C.8","WBGene00022302","Unassigned","Unassigned","Unassigned"
"Y76B12C.6","WBGene00022300","Unassigned","Unassigned","Unassigned"
"xpc-1","WBGene00022296","DNA","DNA: repair","DNA: repair"
"cpsf-1","WBGene00022301","mRNA functions","mRNA functions: processing","mRNA functions: processing: polyadenylation"
"Y76B12C.9","WBGene00022303",NA,NA,NA
"cng-2","WBGene00022295","Transmembrane transport","Transmembrane transport: nucleotide gated channel","Transmembrane transport: nucleotide gated channel"
